Latitude (decimal degrees):	47.658
Longitude (decimal degrees):	9.169
Elevation (m):	399
Radiation database:	PVGIS-SARAH


Slope: 36 deg. (optimum)
Azimuth: 4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20070101:0010,0.0,0.0,0.0,8.83,3.6,0.0
20070101:0110,0.0,0.0,0.0,8.81,3.6,0.0
20070101:0210,0.0,0.0,0.0,8.79,3.6,0.0
20070101:0310,0.0,0.0,0.0,8.77,3.6,0.0
20070101:0410,0.0,0.0,0.0,8.82,3.49,0.0
20070101:0510,0.0,0.0,0.0,8.86,3.37,0.0
20070101:0610,0.0,0.0,0.0,8.91,3.26,0.0
20070101:0710,0.0,0.0,0.0,9.03,3.2,0.0
20070101:0810,14.43,29.47,6.77,9.16,3.15,0.0
20070101:0910,34.38,55.26,13.01,9.29,3.1,0.0
20070101:1010,82.25,111.44,17.29,8.85,2.97,0.0
20070101:1110,23.52,41.45,19.24,8.42,2.83,0.0
20070101:1210,31.61,51.58,18.64,7.98,2.69,0.0
20070101:1310,15.23,30.39,15.56,7.62,3.79,0.0
20070101:1410,11.28,24.87,10.31,7.25,4.89,0.0
20070101:1510,1.13,8.29,3.31,6.89,5.99,0.0
20070101:1610,0.0,0.0,0.0,6.11,4.61,0.0
20070101:1710,0.0,0.0,0.0,5.32,3.24,0.0
20070101:1810,0.0,0.0,0.0,4.54,1.86,0.0
20070101:1910,0.0,0.0,0.0,3.84,1.84,0.0
20070101:2010,0.0,0.0,0.0,3.15,1.82,0.0
20070101:2110,0.0,0.0,0.0,2.45,1.79,0.0
20070101:2210,0.0,0.0,0.0,1.82,1.98,0.0
20070101:2310,0.0,0.0,0.0,1.2,2.16,0.0
20070102:0010,0.0,0.0,0.0,0.57,2.34,0.0
20070102:0110,0.0,0.0,0.0,1.36,2.11,0.0
20070102:0210,0.0,0.0,0.0,2.15,1.88,0.0
20070102:0310,0.0,0.0,0.0,2.94,1.64,0.0
20070102:0410,0.0,0.0,0.0,2.93,2.69,0.0
20070102:0510,0.0,0.0,0.0,2.91,3.73,0.0
20070102:0610,0.0,0.0,0.0,2.9,4.77,0.0
20070102:0710,0.0,0.0,0.0,2.79,5.28,0.0
20070102:0810,22.24,38.93,6.79,2.68,5.79,0.0
20070102:0910,79.27,104.79,13.05,2.57,6.3,0.0
20070102:1010,619.27,696.53,17.35,2.38,6.05,0.0
20070102:1110,263.39,302.16,19.32,2.2,5.79,0.0
