,G(i),H_sun,Int,P,T2m,WS10m,time
2016-01-01 00:00:00,0.0,0.0,0.0,0.0,-0.29,0.61,2011-01-01 00:00:00
2016-01-01 01:00:00,0.0,0.0,0.0,0.0,-0.98,0.81,2011-01-01 01:00:00
2016-01-01 02:00:00,0.0,0.0,0.0,0.0,-1.68,1.01,2011-01-01 02:00:00
2016-01-01 03:00:00,0.0,0.0,0.0,0.0,-2.37,1.21,2011-01-01 03:00:00
2016-01-01 04:00:00,0.0,0.0,0.0,0.0,-2.73,1.08,2011-01-01 04:00:00
2016-01-01 05:00:00,0.0,0.0,0.0,0.0,-3.09,0.94,2011-01-01 05:00:00
2016-01-01 06:00:00,0.0,0.0,0.0,0.0,-3.45,0.8,2011-01-01 06:00:00
2016-01-01 07:00:00,0.0,0.0,0.0,0.0,-2.61,0.81,2011-01-01 07:00:00
2016-01-01 08:00:00,59.58,6.77,0.0,39.91,-1.77,0.82,2011-01-01 08:00:00
2016-01-01 09:00:00,88.7,13.01,0.0,65.43,-0.92,0.83,2011-01-01 09:00:00
2016-01-01 10:00:00,74.6,17.29,0.0,52.39,0.68,1.05,2011-01-01 10:00:00
2016-01-01 11:00:00,85.66,19.24,0.0,61.62,2.28,1.28,2011-01-01 11:00:00
2016-01-01 12:00:00,90.26,18.64,0.0,65.17,3.87,1.5,2011-01-01 12:00:00
2016-01-01 13:00:00,68.16,15.56,0.0,46.24,3.39,1.77,2011-01-01 13:00:00
2016-01-01 14:00:00,39.61,10.31,0.0,22.72,2.9,2.03,2011-01-01 14:00:00
2016-01-01 15:00:00,21.52,3.31,0.0,9.16,2.41,2.29,2011-01-01 15:00:00
2016-01-01 16:00:00,0.0,0.0,0.0,0.0,1.53,1.99,2011-01-01 16:00:00
2016-01-01 17:00:00,0.0,0.0,0.0,0.0,0.65,1.68,2011-01-01 17:00:00
2016-01-01 18:00:00,0.0,0.0,0.0,0.0,-0.23,1.38,2011-01-01 18:00:00
2016-01-01 19:00:00,0.0,0.0,0.0,0.0,-0.39,1.37,2011-01-01 19:00:00
2016-01-01 20:00:00,0.0,0.0,0.0,0.0,-0.54,1.36,2011-01-01 20:00:00
2016-01-01 21:00:00,0.0,0.0,0.0,0.0,-0.7,1.35,2011-01-01 21:00:00
2016-01-01 22:00:00,0.0,0.0,0.0,0.0,-0.83,1.22,2011-01-01 22:00:00
2016-01-01 23:00:00,0.0,0.0,0.0,0.0,-0.96,1.09,2011-01-01 23:00:00
2016-01-02 00:00:00,0.0,0.0,0.0,0.0,-1.09,0.97,2011-01-02 00:00:00
2016-01-02 01:00:00,0.0,0.0,0.0,0.0,-1.1,1.05,2011-01-02 01:00:00
